URL,Provider Name,Title,Practice Name,More Providers Count,Other Providers Details,Status
https://www.healow.com/apps/provider/zainab-nawab-9219,,,,0,,Failed
https://www.healow.com/apps/provider/william-alvarez-3671,WILLIAM ALVAREZ,"DO, Family Medicine",,0,,Success
https://www.healow.com/apps/provider/william-kaye-5299,William Kaye,"MD, Internal Medicine - Endocrinology, Diabetes & Metabolism",PALM BEACH DIABETES ENDOCRINE SPECIALIST FLAGLER,4,"CAROL KREIDER - (ARNP, Endocrinologist) - https://healow.com/apps/provider/carol-kreider-3375119
BARRY HOROWITZ - (MD, Endocrinologist) - https://healow.com/apps/provider/barry-horowitz-1591222
MOROLAKE AMOLE - (MD, Endocrinologist) - https://healow.com/apps/provider/morolake-amole-2017704
MAXWELL HOROWITZ - (D.O., Endocrinologist) - https://healow.com/apps/provider/maxwell-horowitz-3700610",Success
https://www.healow.com/apps/provider/yaneth-trujillo-31123,YANETH TRUJILLO,"M.D, Family Medicine","MIRAMAR - Yaneth Trujillo MD PA
Weston-Yaneth Trujillo MD PA
TMC - MIAMI
TMC - CORAL SPRINGS",2,"CARLOS ROMERO - (DO, Family Medicine) - https://healow.com/apps/provider/carlos-romero-2242058
TANISHA DAWKINS - (Nurse Practitioner, Family Medicine) - https://healow.com/apps/provider/tanisha-dawkins-2891566
JORGE MORA - (MD, Geriatric) - https://healow.com/apps/provider/jorge-mora-2867628",Success
https://www.healow.com/apps/provider/yaneth-trujillo-31123,YANETH TRUJILLO,"M.D, Family Medicine","MIRAMAR - Yaneth Trujillo MD PA
Weston-Yaneth Trujillo MD PA
TMC - MIAMI
TMC - CORAL SPRINGS",2,"CARLOS ROMERO - (DO, Family Medicine) - https://healow.com/apps/provider/carlos-romero-2242058
TANISHA DAWKINS - (Nurse Practitioner, Family Medicine) - https://healow.com/apps/provider/tanisha-dawkins-2891566
JORGE MORA - (MD, Geriatric) - https://healow.com/apps/provider/jorge-mora-2867628",Success
https://www.healow.com/apps/provider/vincent-passaro-198615,VINCENT PASSARO,"OD, Optometrist",Passaro Eyecare Inc,0,,Success
https://www.healow.com/apps/provider/urgentcare-norwalk-824280,DOCS URGENT CARE Norwalk,"md, Clinic/Center - Urgent Care",,0,,Success
https://www.healow.com/apps/provider/urgentcare-easthaven-824275,DOCS URGENT CARE East Haven,"MD, Clinic/Center - Urgent Care",,0,,Success
https://www.healow.com/apps/provider/valerie-hudson-110244,Valerie Hudson,"MD, Pediatrics",,0,,Success
https://www.healow.com/apps/provider/todd-meyer-1313994,Todd Meyer,"DO, Otolaryngology - Otolaryngology/Facial Plastic Surgery","ENT Spec of WI - Neenah
ENT Spec of WI - Westhill",8,"Tricia Roh - (Au. D., Audiologist) - https://healow.com/apps/provider/tricia-roh-2121937
Leah Miller - (DNP, Ear, Nose, Throat Specialist) - https://healow.com/apps/provider/leah-miller-2815956
Erin Krueger - (Au. D., Audiologist) - https://healow.com/apps/provider/erin-krueger-2121935
Benjamin Johnson - (MD, Allergist) - https://healow.com/apps/provider/benjamin-johnson-3405603
Gregory Swanson - (MD, Allergist) - https://healow.com/apps/provider/gregory-swanson-1314000
Rahul Subbarayan - (MD, Ear, Nose, Throat Specialist) - https://healow.com/apps/provider/rahul-subbarayan-1983674
Larry K. Burton, Jr. - (MD, Allergist) - https://healow.com/apps/provider/larry-burton-1127208
Reba Wunderlich - (AuD, Audiologist) - https://healow.com/apps/provider/reba-wunderlich-3131285
Angela Lemerande - (APNP, Nurse Practitioner) - https://healow.com/apps/provider/angela-lemerande-4050418
Kristin Borgen - (Au.D., Audiologist) - https://healow.com/apps/provider/kristin-borgen-2778941
Lira Martinez - (PA, Ear, Nose, Throat Specialist) - https://healow.com/apps/provider/lira-martinez-1314005
Andrea Federman - (Au.D., Audiologist) - https://healow.com/apps/provider/andrea-federman-2610041
Jessica Grzeca - (Au.D., Audiologist) - https://healow.com/apps/provider/jessica-grzeca-2610040",Success
